UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
150534,"R",462,"R",775,"R",60,"R",377,"R",0,"R",0,"R",377,"R",292,"R",77,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",10
150604,"R",256,"R",312,"R",82,"R",245,"R",0,"R",0,"R",245,"R",174,"R",71,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",12
150668,"R",156,"R",262,"R",60,"R",165,"R",0,"R",0,"R",165,"R",129,"R",78,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",9
150677,"R",452,"R",704,"R",64,"R",418,"R",0,"R",0,"R",418,"R",336,"R",80,"A",,"A",,"A",,"A",,"A",,"A",,"R",23
150756,"R",264,"R",288,"R",92,"R",280,"R",0,"R",0,"R",280,"R",233,"R",83,"A",,"A",,"A",,"A",,"A",,"A",,"R",11
150765,"A",,"A",,"A",,"R",51,"R",0,"R",0,"R",51,"R",40,"R",78,"A",,"A",,"A",,"A",,"A",,"A",,"R",13
150774,"R",222,"R",286,"R",78,"R",186,"R",75,"R",0,"R",111,"R",88,"R",79,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",12
150853,"A",,"A",,"A",,"R",37,"R",0,"R",0,"R",37,"R",16,"R",43,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",10
150941,"R",247,"R",575,"R",43,"R",252,"R",0,"R",0,"R",252,"R",194,"R",77,"R",20,"R",0,"R",0,"R",20,"R",15,"R",75,"R",10
150987,"R",5040,"R",37540,"R",13,"R",4563,"R",0,"R",0,"R",4563,"R",2795,"R",61,"R",7832,"R",9,"R",0,"R",7823,"R",3584,"R",46,"R",25
151102,"R",1328,"R",4309,"R",31,"R",1172,"R",0,"R",0,"R",1172,"R",753,"R",64,"R",38,"R",0,"R",0,"R",38,"R",13,"R",34,"R",13
151111,"R",3191,"R",4687,"R",68,"R",3359,"R",1,"R",0,"R",3358,"R",2434,"R",72,"R",119,"R",1,"R",0,"R",118,"R",66,"R",56,"R",14
151263,"R",801,"R",1586,"R",51,"R",851,"R",0,"R",0,"R",851,"R",580,"R",68,"R",5,"R",0,"R",0,"R",5,"R",1,"R",20,"R",12
151290,"R",443,"R",752,"R",59,"R",436,"R",0,"R",0,"R",436,"R",287,"R",66,"R",3,"R",0,"R",0,"R",3,"R",0,"R",0,"R",16
151306,"R",1264,"R",3700,"R",34,"R",1223,"R",1,"R",0,"R",1222,"R",849,"R",69,"R",17,"R",0,"R",0,"R",17,"R",12,"R",71,"R",14
151324,"R",1558,"R",2115,"R",74,"R",1525,"R",1,"R",0,"R",1524,"R",1046,"R",69,"R",10,"R",0,"R",0,"R",10,"R",4,"R",40,"R",17
151333,"R",459,"R",894,"R",51,"R",477,"R",0,"R",0,"R",477,"R",319,"R",67,"R",20,"R",0,"R",0,"R",20,"R",8,"R",40,"R",14
151342,"R",810,"R",1248,"R",65,"R",651,"R",0,"R",0,"R",651,"R",435,"R",67,"R",75,"R",0,"R",0,"R",75,"R",29,"R",39,"R",14
151351,"R",9520,"R",10362,"R",92,"R",9708,"R",2,"R",0,"R",9706,"R",8789,"R",91,"R",27,"R",0,"R",0,"R",27,"R",22,"R",81,"R",18
151360,"R",431,"R",805,"R",54,"R",374,"R",0,"R",0,"R",374,"R",257,"R",69,"R",29,"R",0,"R",0,"R",29,"R",18,"R",62,"R",14
151379,"R",600,"R",1006,"R",60,"R",566,"R",0,"R",0,"R",566,"R",395,"R",70,"R",39,"R",0,"R",0,"R",39,"R",20,"R",51,"R",13
151388,"R",306,"R",813,"R",38,"R",312,"R",0,"R",0,"R",312,"R",197,"R",63,"R",37,"R",0,"R",0,"R",37,"R",24,"R",65,"R",14
151467,"R",31,"R",40,"R",78,"R",32,"R",0,"R",0,"R",32,"R",21,"R",66,"A",,"A",,"A",,"A",,"A",,"A",,"R",16
